n,q_plus,q_minus
2,3,2
4,3,3
6,5,5
8,3,3
10,3,3
12,5,5
14,3,3
16,7,5
18,7,7
20,19,3
22,3,5
24,11,5
26,7,3
28,3,11
30,7,13
32,7,3
34,7,3
36,5,5
38,3,5
40,7,3
42,13,5
44,13,3
46,13,3
48,5,7
50,3,23
52,3,5
54,11,7
56,31,17
58,7,3
60,7,7
62,3,11
64,3,3
66,7,7
68,13,3
70,3,11
72,5,5
74,3,5
76,3,59
78,5,5
80,73,3
82,13,5
84,13,13
86,37,3
88,13,3
90,11,7
92,3,3
94,3,5
96,5,7
98,19,3
100,7,59
102,23,5
104,31,17
106,3,23
108,13,7
110,7,3
112,3,3
114,5,13
116,7,5
118,7,3
120,7,11
122,3,5
124,7,3
126,5,17
128,37,3
130,3,11
132,7,5
134,3,17
136,7,3
138,7,7
140,3,3
142,13,3
144,7,5
146,3,3
148,7,11
150,11,17
152,13,5
154,3,29
156,23,7
158,3,11
160,3,11
162,5,7
164,7,3
166,61,5
168,5,5
170,61,29
172,3,3
174,17,5
176,7,5
178,3,17
180,11,19
182,37,5
184,7,5
186,7,5
188,19,5
190,7,3
192,7,7
194,7,3
196,31,23
198,5,5
200,13,11
202,19,3
204,5,5
206,7,3
208,7,3
210,11,11
212,19,5
214,31,17
216,7,7
218,3,3
220,7,3
222,13,5
224,31,17
226,61,5
228,7,7
230,3,11
232,7,5
234,11,5
236,37,5
238,19,11
240,37,7
242,3,53
244,3,23
246,5,7
248,3,11
250,7,3
252,17,5
254,37,3
256,3,17
258,5,11
260,7,11
262,43,5
264,13,5
266,13,3
268,13,3
270,7,7
272,37,11
274,3,47
276,31,13
278,7,5
280,37,53
282,7,31
284,13,5
286,3,23
288,19,5
290,31,11
292,67,5
294,5,13
296,7,3
298,3,3
300,7,11
302,79,5
304,3,3
306,47,7
308,43,17
310,37,3
312,23,17
314,31,23
316,3,17
318,17,5
320,7,3
322,3,3
324,11,5
326,3,3
328,19,3
330,7,7
332,13,3
334,37,17
336,5,19
338,37,23
340,3,3
342,5,5
344,7,59
346,7,17
348,19,23
350,3,3
352,7,17
354,13,5
356,3,3
358,37,5
360,7,7
362,19,3
364,3,5
366,7,7
368,3,71
370,43,3
372,5,11
374,7,5
376,37,5
378,13,11
380,7,17
382,7,101
384,31,5
386,31,5
388,7,11
390,11,7
392,37,23
394,67,5
396,7,17
398,3,11
400,19,23
402,7,5
404,7,5
406,3,5
408,7,7
410,43,11
412,7,11
414,5,13
416,3,3
418,13,3
420,13,11
422,7,17
424,3,59
426,23,17
428,7,17
